dataset,imageID,ROInum,minJ,maxSCDr,maxPCF,Density,ROI_areaInclude,ROI_areaExclude,ROI_tumourArea,ROI_stromaArea,ROI_areaNecrosis,ROI_propExclude,ROI_propNecrosis,ROI_propAnnotatedOut
HeadAndNeck,33754-07,53,0.105822957,0.346673337,4.274108854,95.11111111,2.0236,0.22725,1.2589,0.76466,0,0.100961859,0,0.100961859
HeadAndNeck,33754-07,54,0.222876351,0.123061531,1.590742289,300.4444444,2.2508,0,1.7038,0.54702,0.0052533,0,0.00233397,0.00233397
HeadAndNeck,33754-07,56,0.004886809,0.886943472,2.969581333,190.6666667,1.0626,1.1883,0.596,0.46658,0,0.527922164,0,0.527922164
HeadAndNeck,33754-07,57,0.191507564,0.093796898,1.190140826,324,2.2508,0,1.9245,0.32636,0,0,0,0
HeadAndNeck,33754-07,58,0.213868057,0.128314157,1.585193671,371.1111111,2.2508,0,0.82763,1.4232,0,0,0,0
HeadAndNeck,33754-07,59,0.186913769,0.136568284,1.229192718,351.1111111,2.2508,0,1.8169,0.4339,0,0,0,0
HeadAndNeck,33754-07,60,0.021004515,0.178589295,1.679883981,458.6666667,2.2508,0,1.1927,1.0581,0,0,0,0
HeadAndNeck,33754-07,61,0.142356413,0.173336668,1.901943656,301.3333333,2.2107,0.040139,1.7125,0.49818,0.00045042,0.017832906,0.000200112,0.018033018
HeadAndNeck,33754-07,62,0.234445824,0.111805903,1.257595099,336.4444444,2.2508,0,1.4208,0.83003,0,0,0,0
HeadAndNeck,33754-07,63,0.078440245,0.390945473,3.42579896,55.11111111,2.2508,0,1.4087,0.84215,0,0,0,0
HeadAndNeck,33754-07,64,0.080494572,0.414957479,7.201206312,41.77777778,2.2508,0,1.8417,0.40913,0,0,0,0
HeadAndNeck,33754-07,65,0.227317594,0.268634317,4.271686023,60,2.2508,0,1.4688,0.78203,0,0,0,0
HeadAndNeck,33754-07,66,0.138485706,0.14032016,1.930067668,168,2.2508,0,1.5724,0.67846,0.019221,0,0.00853963,0.00853963
HeadAndNeck,33754-07,67,0.732452153,0.096798399,1.237456228,335.1111111,2.2508,0,1.6584,0.59249,0.0026558,0,0.001179936,0.001179936
HeadAndNeck,33754-07,68,0.396800459,0.108054027,1.594530652,307.5555556,2.2508,0,1.4205,0.83034,0,0,0,0
HeadAndNeck,33754-07,69,0.162554325,0.082541271,1.190845686,449.3333333,2.2508,0,1.7864,0.46443,0,0,0,0
HeadAndNeck,33754-07,71,0.16865955,0.099049525,1.370743261,566.2222222,2.2508,0,0.75059,1.5003,0,0,0,0
HeadAndNeck,33754-07,72,0.439105675,0.086293147,1.212120013,350.6666667,2.2508,0,1.6885,0.56232,0,0,0,0
HeadAndNeck,33754-07,73,0.517388549,0.090045023,1.356769926,397.3333333,2.2508,0,1.6405,0.61032,0.022035,0,0.009789852,0.009789852
HeadAndNeck,33754-07,74,0.773020675,0.074287144,1.132501679,410.6666667,2.2508,0,1.8115,0.43939,0,0,0,0
